code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
600903,贵州燃气,燃气,主板,价值陷阱复核,47.7142,17.3012,50.0424,71.4543,0.4313,486.6128,2.8339,0.6633,11.3857,18.8920,0.8969,-0.1074,2,有效,1.0000
688367,工大高科,轨交设备,科创板,普通观察,47.6743,10.7359,51.5630,75.4470,0.3553,359.8673,4.2340,0.4359,2.3392,4.2506,0.9544,0.0504,1,有效,1.0000
301373,凌玮科技,化学制品,创业板,普通观察,47.6059,14.9106,72.6508,50.5854,1.5576,76.8382,6.3355,0.4021,0.8625,2.1825,0.9116,-0.0871,0,有效,1.0000
688222,成都先导,医疗服务,科创板,普通观察,47.5964,27.4968,54.3970,58.0242,0.5544,89.4062,8.2119,0.4757,2.4925,5.3412,0.5535,0.6149,0,有效,1.0000
603656,泰禾智能,专用设备,主板,普通观察,47.5585,32.7502,46.8644,60.9454,0.2171,92.7381,2.3566,0.4194,4.7911,11.5948,0.9955,0.0041,0,有效,1.0000
603179,新泉股份,汽车零部件,主板,普通观察,47.5444,38.2904,57.3216,45.6993,0.4061,35.3250,3.7495,0.1815,0.9425,5.0197,0.9782,0.0232,0,有效,1.0000
603823,百合花,化学制品,主板,普通观察,47.5063,9.3391,60.0272,67.7002,0.8638,128.4016,9.3085,0.3547,1.8681,5.2660,0.9363,-0.0643,0,有效,1.0000
605003,众望布艺,服装家纺,主板,普通观察,47.5055,56.9033,68.1423,18.8135,1.4065,38.2255,1.8189,0.5612,0.8267,1.9943,0.9036,0.1043,1,有效,1.0000
688291,金橙子,软件开发,科创板,普通观察,47.4729,34.7919,56.7282,49.0872,0.4682,62.3233,4.4479,0.2419,0.7058,2.0069,0.5251,0.4166,1,有效,1.0000
300335,迪森股份,电力,创业板,价值陷阱复核,47.4712,41.0279,49.3421,51.1231,1.7361,69.2100,1.4580,0.9828,3.9796,3.6675,0.9116,-0.0871,2,有效,1.0000
605118,力鼎光电,计算机设备,主板,普通观察,47.4018,28.6726,61.4163,49.4408,1.9927,43.8839,8.3224,0.9351,1.3153,1.4029,0.6527,0.5565,1,有效,1.0000
688563,航材股份,军工装备,科创板,普通观察,47.3194,43.5030,61.5979,36.3122,0.7626,50.8854,2.3669,0.3725,0.4605,1.2362,0.9650,-0.0341,1,有效,1.0000
