code6,name,final_status,growth_profile,final_score,growth_core,quality_score,balance_score,news_news_score,current_revenue_growth,current_profit_growth,revenue_acceleration,profit_acceleration,persistence_score,cash_margin,cash_to_profit,current_roe,current_net_margin,current_debt_ratio,news_news_count,news_positive_articles,news_negative_articles,news_positive_groups,news_negative_groups,low_base_flag,cash_mismatch_flag,high_debt_flag,factor_status,factor_coverage
600906,财达证券,成长质量优先,持续成长,75.2924,90.9113,79.2219,20.5767,,67.9217,104.5893,57.1808,95.7707,100.0,0.4146,1.1222,6.06,36.9458,79.4233,0,0,0,[],[],False,False,True,有效,1.0
000155,川能动力,加速/反转观察,加速成长,75.2439,88.4457,68.0352,50.056,,124.7807,130.7255,106.9492,161.5961,50.0,0.139,0.6576,6.52,34.7064,49.944,0,0,0,[],[],False,False,False,有效,1.0
603893,瑞芯微,成长质量优先,持续成长,75.2177,72.5933,79.4001,74.7264,,40.6036,61.7312,0.2474,-13.0912,100.0,0.2782,0.9317,18.34,29.8634,25.2736,0,0,0,[],[],False,False,False,有效,1.0
600183,生益科技,成长质量优先,持续成长,75.2106,85.5058,72.5373,49.6715,,50.0455,130.424,10.5974,38.6708,100.0,0.1568,0.9076,18.17,19.5412,50.3285,0,0,0,[],[],False,False,False,有效,1.0
603256,宏和科技,成长质量优先,持续成长,75.1852,82.4027,78.021,50.0512,71.9,90.3889,334.3189,50.0836,-451.2296,100.0,0.2658,0.7339,15.28,36.2161,49.9488,18,17,4,"['业绩兑现', '产能产品', '研发技术', '行业景气', '需求订单']","['业绩风险', '扩张不确定', '治理监管', '经营质量']",True,False,False,有效,1.0
002956,西麦食品,成长质量优先,持续成长,75.1839,78.4294,71.8976,72.0201,,22.032,81.8825,3.9202,52.9549,100.0,0.1716,1.6233,8.8,10.6358,27.9799,0,0,0,[],[],False,False,False,有效,1.0
002297,博云新材,加速/反转观察,反转/低基数,75.056,96.2492,47.8679,65.8525,,88.3314,1911.6026,60.5625,1719.5994,83.3333,-0.0584,-0.2558,7.69,23.2495,34.1475,0,0,0,[],[],True,True,False,有效,1.0
002460,赣锋锂业,加速/反转观察,反转/低基数,75.0401,95.3837,59.6044,44.881,,175.7483,901.3649,153.6641,723.5939,66.6667,0.0575,0.312,9.09,19.1854,55.119,0,0,0,[],[],True,False,False,有效,1.0
603980,吉华集团,加速/反转观察,反转/低基数,74.9367,82.9234,55.9988,88.8521,,12.2724,1235.4653,19.261,1303.5856,50.0,0.1389,2.3962,1.175,5.4418,11.1479,0,0,0,[],[],True,False,False,有效,1.0
002532,天山铝业,加速/反转观察,加速成长,74.8598,77.8974,76.7407,61.9853,,14.2464,100.4374,9.217,92.3026,83.3333,0.2293,0.9612,13.42,23.7825,38.0147,0,0,0,[],[],False,False,False,有效,1.0
002812,恩捷股份,加速/反转观察,反转/低基数,74.8268,90.8713,60.2622,55.8225,,50.4662,980.9879,16.3341,855.3643,66.6667,0.134,1.416,3.15,11.0041,44.1775,0,0,0,[],[],True,False,False,有效,1.0
002326,永太科技,成长质量优先,持续成长,74.8002,93.6853,71.4872,24.7707,,43.5712,365.7356,29.9706,275.373,100.0,0.1545,2.1136,9.75,7.916,75.2293,0,0,0,[],[],True,False,True,有效,1.0
603093,南华期货,加速/反转观察,加速成长,74.7708,85.5462,92.1691,7.6479,,48.1764,67.9148,45.7222,61.7374,83.3333,6.1573,13.9403,6.76,44.2098,92.3521,0,0,0,[],[],False,False,True,有效,1.0
