date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-11-17,1.1946955,0.31934353,0.87535197,0.732699,0.194696,-0.073144,159263|159937|560620
2025-11-18,1.18407514,0.59966322,0.58441192,0.49356,0.184075,-0.081384,159263|560620
2025-11-19,1.18601856,0.89078593,0.29523263,0.248927,0.186019,-0.079876,159263
2025-11-20,1.18574943,0.89078593,0.29496351,0.248757,0.185749,-0.080085,159263
2025-11-21,1.18036689,0.89078593,0.28958096,0.245331,0.180367,-0.084261,159263
2025-11-24,1.17955951,0.89078593,0.28877358,0.244815,0.17956,-0.084887,159263
2025-11-25,1.18117427,0.89078593,0.29038834,0.245847,0.181174,-0.083634,159263
2025-11-26,1.18171253,0.89078593,0.2909266,0.246191,0.181713,-0.083217,159263
2025-11-27,1.18278903,0.89078593,0.29200311,0.246877,0.182789,-0.082382,159263
2025-11-28,1.18251991,0.89078593,0.29173398,0.246705,0.18252,-0.08259,159263
2025-12-01,1.18521118,0.89078593,0.29442525,0.248416,0.185211,-0.080502,159263
2025-12-02,1.18494205,0.89078593,0.29415612,0.248245,0.184942,-0.080711,159263
2025-12-03,1.18601856,0.89078593,0.29523263,0.248927,0.186019,-0.079876,159263
2025-12-04,1.18521118,0.89078593,0.29442525,0.248416,0.185211,-0.080502,159263
2025-12-05,1.18790245,0.89078593,0.29711652,0.250119,0.187902,-0.078415,159263
2025-12-08,1.18601856,0.89078593,0.29523263,0.248927,0.186019,-0.079876,159263
2025-12-09,1.18171253,0.89078593,0.2909266,0.246191,0.181713,-0.083217,159263
2025-12-10,1.18117427,1.18117427,0.0,0.0,0.181174,-0.083634,
2025-12-11,1.18117427,1.18117427,0.0,0.0,0.181174,-0.083634,
2025-12-12,1.18117427,1.18117427,0.0,0.0,0.181174,-0.083634,
2025-12-15,1.18117427,1.18117427,0.0,0.0,0.181174,-0.083634,
2025-12-16,1.18117427,1.18117427,0.0,0.0,0.181174,-0.083634,
2025-12-17,1.18117427,1.18117427,0.0,0.0,0.181174,-0.083634,
2025-12-18,1.18117427,0.8858807,0.29529357,0.25,0.181174,-0.083634,159206
2025-12-19,1.18538073,0.58953552,0.59584521,0.502661,0.185381,-0.080371,159206|159623
2025-12-22,1.1807823,0.58953552,0.59124678,0.500725,0.180782,-0.083938,159206|159623
2025-12-23,1.16858356,0.58953552,0.57904804,0.495513,0.168584,-0.093402,159206|159623
2025-12-24,1.18400932,0.58953552,0.5944738,0.502085,0.184009,-0.081435,159206|159623
2025-12-25,1.20617164,0.58953552,0.61663612,0.511234,0.206172,-0.064241,159206|159623
2025-12-26,1.21479488,0.58953552,0.62525936,0.514704,0.214795,-0.057551,159206|159623
2025-12-29,1.21617632,0.58953552,0.6266408,0.515255,0.216176,-0.056479,159206|159623
2025-12-30,1.21407309,0.58953552,0.62453757,0.514415,0.214073,-0.058111,159206|159623
2025-12-31,1.23334441,0.58953552,0.64380889,0.522003,0.233344,-0.04316,159206|159623
2026-01-05,1.24402357,0.27852963,0.96549394,0.776106,0.244024,-0.034875,159206|159623|159731
2026-01-06,1.2722535,0.27852963,0.99372387,0.781074,0.272253,-0.012974,159206|159623|159731
2026-01-07,1.26726277,0.27852963,0.98873315,0.780212,0.267263,-0.016846,159206|159623|159731
2026-01-08,1.28707996,0.27852963,1.00855033,0.783596,0.28708,-0.001472,159206|159623|159731
2026-01-09,1.31483273,0.27852963,1.0363031,0.788163,0.314833,0.0,159206|159623|159731
2026-01-12,1.35854598,0.27852963,1.08001635,0.79498,0.358546,0.0,159206|159623|159731
2026-01-13,1.33551036,0.27852963,1.05698073,0.791443,0.33551,-0.016956,159206|159623|159731
2026-01-14,1.34163602,0.27852963,1.0631064,0.792396,0.341636,-0.012447,159206|159623|159731
2026-01-15,1.31142968,0.27852963,1.03290005,0.787614,0.31143,-0.034681,159206|159623|159731
2026-01-16,1.30711325,0.27852963,1.02858362,0.786912,0.307113,-0.037859,159206|159623|159731
2026-01-19,1.32055059,0.27852963,1.04202097,0.789081,0.320551,-0.027968,159206|159623|159731
2026-01-20,1.30934107,0.27852963,1.03081144,0.787275,0.309341,-0.036219,159206|159623|159731
2026-01-21,1.33788062,0.27852963,1.05935099,0.791813,0.337881,-0.015211,159206|159623|159731
2026-01-22,1.32722737,0.27852963,1.04869775,0.790142,0.327227,-0.023053,159206|159623|159731
2026-01-23,1.36910524,0.27852963,1.09057561,0.796561,0.369105,0.0,159206|159623|159731
2026-01-26,1.34042469,0.27852963,1.06189507,0.792208,0.340425,-0.020948,159206|159623|159731
2026-01-27,1.34016049,0.27852963,1.06163086,0.792167,0.34016,-0.021141,159206|159623|159731
2026-01-28,1.34271329,0.27852963,1.06418367,0.792562,0.342713,-0.019277,159206|159623|159731
2026-01-29,1.33698454,0.27852963,1.05845491,0.791673,0.336985,-0.023461,159206|159623|159731
2026-01-30,1.32014192,0.27852963,1.04161229,0.789015,0.320142,-0.035763,159206|159623|159731
2026-02-02,1.28838962,0.56809475,0.72029488,0.559066,0.28839,-0.058955,159206|159731
2026-02-03,1.31571195,0.56809475,0.7476172,0.568223,0.315712,-0.038999,159206|159731
2026-02-04,1.30827131,0.56809475,0.74017656,0.565767,0.308271,-0.044433,159206|159731
2026-02-05,1.29462798,0.56809475,0.72653323,0.561191,0.294628,-0.054398,159206|159731
2026-02-06,1.29481063,0.9544582,0.34035244,0.262859,0.294811,-0.054265,159731
2026-02-09,1.29919575,0.9544582,0.34473755,0.265347,0.299196,-0.051062,159731
2026-02-10,1.29852112,0.9544582,0.34406292,0.264965,0.298521,-0.051555,159731
