code6,name,signals,first_signal,last_signal,avg_return,median_return,avg_adverse,last_score,win_rate
600867,通化东宝,1,2025-10-31,2025-10-31,-0.0471380471380471,-0.0471380471380471,-0.0830527497194164,78.5267084081016,0.0
603379,三美股份,1,2025-06-30,2025-06-30,-0.0521347350354001,-0.0521347350354001,-0.0682257026389187,78.11364221467342,0.0
002027,分众传媒,1,2024-10-31,2024-10-31,-0.05446293494705,-0.05446293494705,-0.0620272314674735,68.9220740715464,0.0
002729,好利科技,1,2024-10-31,2024-10-31,-0.0552968568102444,-0.0552968568102444,-0.1236903376018625,69.52935681740489,0.0
000166,申万宏源,1,2025-10-31,2025-10-31,-0.0561797752808987,-0.0561797752808987,-0.0636704119850186,75.30849295679198,0.0
603267,鸿远电子,1,2025-08-29,2025-08-29,-0.0591645353793691,-0.0591645353793691,-0.1270247229326512,73.8752631301904,0.0
603530,神马电力,1,2026-04-30,2026-04-30,-0.0688578471651603,-0.0688578471651603,-0.0999178307313064,73.54782027175197,0.0
000722,湖南发展,1,2024-11-29,2024-11-29,-0.0724365004703669,-0.0724365004703669,-0.1044214487300094,73.56958156188165,0.0
603203,快克智能,1,2026-02-27,2026-02-27,-0.0833725489237514,-0.0833725489237514,-0.1267973856080311,74.47617765526758,0.0
600872,中炬高新,1,2026-04-30,2026-04-30,-0.08992628992629,-0.08992628992629,-0.1007371007371007,74.75021139005831,0.0
603259,药明康德,1,2026-04-30,2026-04-30,-0.093599833458624,-0.093599833458624,-0.1269480902125774,73.3678470714149,0.0
600933,爱柯迪,1,2025-02-28,2025-02-28,-0.0951351351351352,-0.0951351351351352,-0.1264864864864865,69.80685484490999,0.0
001296,长江材料,1,2026-01-30,2026-01-30,-0.1038781163434903,-0.1038781163434903,-0.1177285318559556,72.5551056337921,0.0
002151,北斗星通,1,2025-08-29,2025-08-29,-0.1044504995458674,-0.1044504995458674,-0.1398728428701181,74.33161859291666,0.0
605118,力鼎光电,1,2026-02-27,2026-02-27,-0.11441647597254,-0.11441647597254,-0.1601830663615561,82.71694015211204,0.0
603031,安孚科技,1,2024-11-29,2024-11-29,-0.1148371100917431,-0.1148371100917431,-0.1717810821100917,74.42244967714298,0.0
002858,力盛体育,1,2024-11-29,2024-11-29,-0.1152108433734939,-0.1152108433734939,-0.1694277108433735,73.8193582790688,0.0
605086,龙高股份,1,2025-02-28,2025-02-28,-0.1203764213828256,-0.1203764213828256,-0.141811527904849,71.24908371180327,0.0
601456,国联民生,1,2025-08-29,2025-08-29,-0.1242845461978739,-0.1242845461978739,-0.1308258381030252,74.55174422398629,0.0
002810,山东赫达,1,2026-04-30,2026-04-30,-0.1356954391255183,-0.1356954391255183,-0.153788164342254,72.50380146623336,0.0
603500,祥和实业,1,2026-01-30,2026-01-30,-0.1375661375661375,-0.1375661375661375,-0.1693121693121693,76.12444395803645,0.0
601336,新华保险,1,2026-01-30,2026-01-30,-0.1387168689621004,-0.1387168689621004,-0.1584097101808272,74.1707771058141,0.0
002487,大金重工,1,2026-04-30,2026-04-30,-0.1569321533923303,-0.1569321533923303,-0.1644837758112094,70.58255757931954,0.0
600183,生益科技,1,2026-02-27,2026-02-27,-0.1852914527333131,-0.1852914527333131,-0.2029598308668075,74.64156108920746,0.0
605060,联德股份,1,2026-04-30,2026-04-30,-0.2,-0.2,-0.2199163179916318,72.83410871147754,0.0
600605,汇通能源,1,2024-11-29,2024-11-29,-0.2047961630695445,-0.2047961630695445,-0.2486810551558753,72.64032636627921,0.0
600262,北方股份,1,2026-02-27,2026-02-27,-0.22631464251984,-0.22631464251984,-0.3016905880255686,74.46344738027857,0.0
