date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-12-01,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-02,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-03,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-04,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-05,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-08,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-09,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-10,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-11,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-12,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-15,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-16,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-17,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-12-18,1.25476789,0.94107592,0.31369197,0.25,0.254768,-0.075446,159206
2025-12-19,1.25923644,0.62626681,0.63296963,0.502661,0.259236,-0.072153,159206|159623
2025-12-22,1.2543515,0.62626681,0.62808469,0.500725,0.254351,-0.075752,159206|159623
2025-12-23,1.24139271,0.62626681,0.6151259,0.495513,0.241393,-0.085301,159206|159623
2025-12-24,1.25777958,0.62626681,0.63151277,0.502085,0.25778,-0.073226,159206|159623
2025-12-25,1.28132273,0.30593613,0.97538661,0.761234,0.281323,-0.055879,159206|159227|159623
2025-12-26,1.29343788,0.30593613,0.98750175,0.763471,0.293438,-0.046952,159206|159227|159623
2025-12-29,1.3003222,0.30593613,0.99438607,0.764723,0.300322,-0.04188,159206|159227|159623
2025-12-30,1.2951333,0.30593613,0.98919717,0.76378,0.295133,-0.045703,159206|159227|159623
2025-12-31,1.32594653,0.30593613,1.0200104,0.76927,0.325947,-0.022999,159206|159227|159623
2026-01-05,1.34172299,0.30593613,1.03578687,0.771983,0.341723,-0.011374,159206|159227|159623
2026-01-06,1.37221973,0.30593613,1.0662836,0.77705,0.37222,0.0,159206|159227|159623
